date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:42:43	65/65	---M--	200	added ('OK')	text/plain	date:Sat,%2007%20Dec%202024%2016:42:42%20GMT	https://www.mdui.org/robots.txt		(from )
00:42:43	15331/15331	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20Dec%202024%2016:42:43%20GMT	https://www.mdui.org/docs/	C:/Users/Administrator/_/data/mdui-doc-v1.0.2/docs/docs/index.html	(from )
00:42:44	1573/1573	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2001%20Nov%202024%2005:58:26%20GMT	https://cdn.w3cbus.com/mdui/docs-1/assets/index-b3427ed7.js	C:/Users/Administrator/_/data/mdui-doc-v1.0.2/docs/mdui/docs-1/assets/index-b3427ed7.js	(from https://www.mdui.org/docs/)
00:42:44	26420/26420	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2001%20Nov%202024%2005:58:24%20GMT	https://cdn.w3cbus.com/mdui/docs-1/assets/MyReward.vue_vue_type_script_setup_true_lang-df11eaf3.js	C:/Users/Administrator/_/data/mdui-doc-v1.0.2/docs/mdui/docs-1/assets/MyReward.vue_vue_type_script_setup_true_lang-df11eaf3.js	(from https://www.mdui.org/docs/)
00:42:44	3946/3946	---M-Z	200	added ('OK')	text/css	date:Fri,%2001%20Nov%202024%2005:58:24%20GMT	https://cdn.w3cbus.com/mdui/docs-1/assets/MyReward-0ad2484e.css	C:/Users/Administrator/_/data/mdui-doc-v1.0.2/docs/mdui/docs-1/assets/MyReward-0ad2484e.css	(from https://www.mdui.org/docs/)
00:42:44	325338/325338	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Jan%202022%2002:00:25%20GMT	https://cdn.w3cbus.com/library/mdui/1.0.2/css/mdui.min.css	C:/Users/Administrator/_/data/mdui-doc-v1.0.2/docs/library/mdui/1.0.2/css/mdui.min.css	(from https://www.mdui.org/docs/)
00:42:45	74021/74021	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2006%20Jan%202022%2002:00:31%20GMT	https://cdn.w3cbus.com/library/mdui/1.0.2/js/mdui.min.js	C:/Users/Administrator/_/data/mdui-doc-v1.0.2/docs/library/mdui/1.0.2/js/mdui.min.js	(from https://www.mdui.org/docs/)
00:42:45	49716/49716	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2006%20Jan%202022%2003:13:27%20GMT	https://cdn.w3cbus.com/library/holderjs/2.9.9/holder.min.js	C:/Users/Administrator/_/data/mdui-doc-v1.0.2/docs/library/holderjs/2.9.9/holder.min.js	(from https://www.mdui.org/docs/)
00:42:45	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2007%20Dec%202024%2016:42:45%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/Administrator/_/data/mdui-doc-v1.0.2/docs/gtm.65445.delayed	(from https://www.mdui.org/docs/)
00:42:46	194617/194617	---M--	200	added ('OK')	text/javascript	etag:1352558965331540167	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-4466345895756968	C:/Users/Administrator/_/data/mdui-doc-v1.0.2/docs/pagead/js/fe7db.txt	(from https://www.mdui.org/docs/)
